RAND FORWARD FORWARD,65536,10805230.0,171534.0,152636.0,189739.0,8192.0,20.93921
RAND FORWARD BACKWARD,65536,13603100.0,131128.7,121242.0,133254.0,8192.0,16.00692
RAND BACKWARD BACKWARD,65536,10982520.0,169768.8,150172.0,189024.0,8192.0,20.72373
CYCLIC,65536,176392200.0,10171.53,9350.0,13255.0,8192.0,1.241641
SAWTOOTH,65536,215112500.0,8170.105,7667.0,8228.0,8192.0,0.9973273
RAND FORWARD FORWARD,65536,10932870.0,172505.5,150854.0,180323.0,8192.0,21.0578
RAND FORWARD BACKWARD,65536,14211700.0,128518.2,116050.0,129547.0,8192.0,15.68826
RAND BACKWARD BACKWARD,65536,10931280.0,171269.4,150876.0,173173.0,8192.0,20.90691
CYCLIC,131072,176704100.0,20121.89,18667.0,24497.0,16384.0,1.228143
SAWTOOTH,131072,205247600.0,17048.84,16071.0,17028.0,16384.0,1.040579
RAND FORWARD FORWARD,131072,7066331.0,505157.6,466796.0,496551.0,16384.0,30.83237
RAND FORWARD BACKWARD,131072,8253745.0,433903.1,399641.0,439406.0,16384.0,26.48334
RAND BACKWARD BACKWARD,131072,7006725.0,503681.9,470767.0,488895.0,16384.0,30.7423
CYCLIC,131072,174645800.0,20037.37,18887.0,19327.0,16384.0,1.222984
SAWTOOTH,131072,205247600.0,17699.58,16071.0,26609.0,16384.0,1.080297
RAND FORWARD FORWARD,131072,7103155.0,512479.6,464376.0,497266.0,16384.0,31.27927
RAND FORWARD BACKWARD,131072,8230863.0,431210.4,400752.0,430111.0,16384.0,26.319
RAND BACKWARD BACKWARD,131072,7307408.0,512166.9,451396.0,544478.0,16384.0,31.26019
CYCLIC,262144,180316800.0,39213.84,36586.0,40436.0,32768.0,1.196711
SAWTOOTH,262144,208603000.0,35137.47,31625.0,37719.0,32768.0,1.072311
RAND FORWARD FORWARD,262144,6059323.0,1162737.0,1088747.0,1148312.0,32768.0,35.48392
RAND FORWARD BACKWARD,262144,6497093.0,1085833.0,1015388.0,1156254.0,32768.0,33.13698
